id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
31523141;Cosy. comfy. entire house. 2 bedrooms and sleeps 6;942783;Jo;;Gilmerton South and the Murrays;55.88566;-3.08646;Entire home/apt;105;3;45;06/08/2022;1.06;1;259;12;
16612439;Old Manse luxury studio apartment near Edinburgh;69412742;Linda;;Gilmerton South and the Murrays;55.91416;-3.08876;Entire home/apt;85;3;32;19/09/2020;0.51;1;70;0;
30558669;Large Double Room in Shared Flat with Sea View;115744740;Calum;;Trinity East and The Dudleys;55.98065;-3.19888;Private room;46;2;87;28/08/2022;2.11;1;193;49;
53955119;Esk Lodge with River View at Kevock Vale Park;436998879;Valerie;;Gilmerton South and the Murrays;55.88203;-3.11861;Private room;140;1;0;;;3;9;0;
5,99E+17;George Avenue - 1 bed shared bathroom;452973676;Robbie;;Gilmerton South and the Murrays;55.87941;-3.15327;Private room;45;1;17;25/08/2022;3.42;1;356;17;
42501468;Private-access room and shower room near Edinburgh;165421613;Sheila;;Gilmerton South and the Murrays;55.87221;-3.15093;Private room;40;1;30;02/09/2022;1.41;1;123;28;
15420;Georgian Boutique Apt City Centre;60423;Charlotte;;Old Town, Princes Street and Leith Street;55.95759;-3.18805;Entire home/apt;114;3;432;09/09/2022;3.04;1;225;77;
24288;Cool central Loft. sleeps 4. 2 double bed+en-suite;46498;Gordon;;Canongate, Southside and Dumbiedykes;55.94383;-3.18445;Entire home/apt;72;3;230;17/07/2022;1.58;1;79;2;
38628;Edinburgh Holiday Let;165635;Trish;;Joppa;55.94215;-3.0964;Entire home/apt;51;4;67;02/09/2022;0.67;2;187;10;
44009;A Warm Welcoming Home In the Charming Old Town :);192586;Puneet;;Marchmont West;55.938;-3.19468;Private room;71;2;45;14/07/2022;0.31;1;17;7;
44552;Double room - spacious Leith flat;195950;Shaun;;South Leith;55.96612;-3.17184;Private room;43;2;240;02/09/2022;1.63;1;43;36;
48645;Large sunny room on Royal Mile;221474;Mark;;Canongate, Southside and Dumbiedykes;55.95072;-3.18305;Private room;114;1;912;11/09/2022;6.44;1;8;37;
51505;Superb City Centre Apartment;236828;Francois;;New Town West;55.9548;-3.19641;Entire home/apt;169;4;17;01/09/2022;0.12;15;21;9;
54188;The Four Sisters Boatel;253850;Natalie;;Dalry and Fountainbridge;55.94217;-3.20863;Entire home/apt;250;1;43;03/07/2022;0.35;2;233;7;
55881;Lovely central apartment sleeps 6;264345;Susie;;Hillside and Calton Hill;55.95935;-3.17713;Entire home/apt;139;2;300;27/08/2022;2.16;1;10;50;
58682;Beautiful Apartment in Edinburgh;281109;Rona;;Comely Bank;55.95508;-3.21625;Entire home/apt;176;4;137;27/08/2022;1.25;3;135;20;
74877;Stunning luxury 2 Bedroom Loft Apartment  Balcony;407268426;Mary;;North Leith and Newhaven;55.97785;-3.17872;Entire home/apt;116;2;138;29/08/2022;1.06;1;207;30;
85620;Rustic Urban Retreat in City View Flat;334208;Carrie;;Leith (Albert Street);55.96252;-3.17595;Entire home/apt;78;2;600;10/09/2022;4.4;1;178;92;
93904;Central Ensuite Room +Hot Breakfast;502783;Brett;;Deans Village;55.94571;-3.2189;Private room;75;1;562;11/09/2022;4.07;1;144;75;
97472;PERFECT LOCATION.FREE PARKING.WIFI;486859;Alan;;Morningside;55.93;-3.20995;Entire home/apt;75;300;38;30/08/2021;0.28;1;12;0;
112625;EPICUREAN CLERK - HUGE. CENTRAL;574430;Michele;;Meadows and Southside;55.93865;-3.1794;Entire home/apt;300;2;127;07/08/2022;0.93;1;46;13;
118314;Vibrant Cottage-style Flat in Leith Links;597415;Daniela;;Leith (Hermitage and Prospect Bank);55.96814;-3.16032;Entire home/apt;153;2;209;27/08/2022;1.52;10;349;20;
122930;Explore the Royal Mile from a City View Apartment;615381;James;;Meadowbank and Abbeyhill North;55.95851;-3.17078;Entire home/apt;93;4;760;08/09/2022;5.69;2;275;59;
142356;NewTown Heart of the Burgh - Studio;691610;Simon;;New Town West;55.95743;-3.20036;Entire home/apt;140;3;51;28/08/2022;0.38;1;19;7;
159769;Ground Floor Garden Flat in City;273097;Lyn;;Newington and Dalkeith Road;55.93802;-3.17812;Entire home/apt;1500;7;1;03/01/2017;0.01;2;347;0;
163870;Stunning 2 bedroom flat @ the Shore. free parking;129153119;Anne;;The Shore and Constitution Street;55.97511;-3.17058;Entire home/apt;78;4;202;11/09/2022;1.5;1;150;54;
170756;Guest-room in Central Penthouse;278168;Maureen;;Tollcross;55.94385;-3.20925;Private room;65;1;384;12/09/2022;2.87;1;38;37;
177944;Nice Central Double room incl. Breakfast;851172;Zeb David;;Leith (Albert Street);55.961548;-3.171129;Private room;64;2;29;09/07/2022;0.21;16;357;3;
180429;Bright Central Double room including Breakfast;851172;Zeb David;;Leith (Albert Street);55.961548;-3.171129;Private room;82;1;70;07/08/2022;0.52;16;365;16;
197220;1 bedroom flat in a great location;960760;Carl;;Marchmont East and Sciennes;55.93757;-3.18762;Private room;85;1;1;03/01/2012;0.01;1;0;0;
214571;Awesome location on High Street;1107698;Michael;;Old Town, Princes Street and Leith Street;55.94909;-3.19033;Entire home/apt;200;2;272;28/08/2022;2.08;1;221;40;
216245;Luxury. City Centre. Free Parking & Wifi - T;173941;Neil;;Dalry and Fountainbridge;55.94392;-3.22007;Entire home/apt;203;2;33;04/09/2022;0.26;5;107;4;
229494;Large Room in Quirky Wee Apartment - Arthur's Seat;1198626;Sally;;Newington and Dalkeith Road;55.94232;-3.17771;Private room;73;2;566;28/08/2022;4.25;1;320;40;
233839;Double bedroom in central Edinburgh;992589;Angie;;Drylaw;55.9637;-3.24809;Private room;20;2;331;31/07/2022;2.75;1;259;17;
241511;HOME-FROM-HOME - Tranquil city centre room for 1-5;1267059;David;;Broughton South;55.96497;-3.18745;Private room;34;1;194;08/03/2020;1.49;1;0;0;
243941;The Heart Of Scotland. Apartment For Large Family;1280035;Benedetto;;Bonnington;55.97313;-3.18573;Entire home/apt;303;2;110;04/09/2022;0.92;2;304;18;
256783;Double Room in Central Edinburgh. Private Shower;273097;Lyn;;Newington and Dalkeith Road;55.93966;-3.1769;Private room;67;2;326;11/09/2022;2.47;2;234;30;
286315;Ideal for short visit or working trip. Marchmont.;1490036;Sitar;;Marchmont West;55.93816;-3.19573;Private room;40;2;26;10/03/2020;0.2;1;175;0;
303689;Quiet Single Room in Edinburgh-Wifi;1563155;Carole;;Oxgangs;55.90737;-3.22198;Private room;120;1;15;16/07/2022;0.12;1;364;2;
307715;Beside The Castle *with Free Wi Fi*;1583173;Yvonne;;Old Town, Princes Street and Leith Street;55.94877;-3.19564;Entire home/apt;160;3;194;01/08/2022;1.51;1;219;15;
315724;Stylish B&B - Double/Twin En-Suite;1621514;Mo;;Newington and Dalkeith Road;55.9358;-3.17037;Private room;69;1;1;30/08/2020;0.04;5;227;0;
315725;Stylish Guesthouse -Twin Ensuite;1621514;Mo;;Newington and Dalkeith Road;55.9358;-3.17037;Private room;69;1;0;;;5;75;0;
315726;Stylish B&B - Family Triple Ensuite;1621514;Mo;;Newington and Dalkeith Road;55.93636;-3.17135;Private room;149;1;0;;;5;227;0;
327159;Central Old Town Castle Apt;1672688;Maggie;;Old Town, Princes Street and Leith Street;55.94688;-3.19712;Entire home/apt;160;1;75;21/05/2019;0.59;2;365;0;
327161;Drummond apt in the heart of Edinburgh's Old Town!;1672688;Maggie;;Old Town, Princes Street and Leith Street;55.94771;-3.18458;Entire home/apt;152;1;74;13/08/2022;0.62;2;356;12;
